Username,Role,Action,Login Time,Action Time
W3PHXNA,nurse,Count Visits,2025-05-11 22:19:16,2025-05-11 22:19:18
W3PHXNA,nurse,View Note,2025-05-11 22:19:16,2025-05-11 22:19:46
W3PHXNA,nurse,Exit,2025-05-11 22:19:16,2025-05-11 22:21:46
W3PHXNA,nurse,Count Visits,2025-05-11 22:22:07,2025-05-11 22:22:10
W3PHXNA,nurse,Exit,2025-05-11 22:22:07,2025-05-11 22:24:14
W3PHXNA,nurse,Count Visits,2025-05-11 22:24:40,2025-05-11 22:24:42
W3PHXNA,nurse,Count Visits,2025-05-11 22:26:36,2025-05-11 22:26:37
W3PHXNA,nurse,View Note,2025-05-11 22:26:36,2025-05-11 22:26:54
W3PHXNA,nurse,Exit,2025-05-11 22:26:36,2025-05-11 22:27:47
nurse_jane,nurse,Count Visits,2025-05-11 22:29:12,2025-05-11 22:29:15
nurse_jane,nurse,Exit,2025-05-11 22:29:12,2025-05-11 22:29:57
W3PHXNA,nurse,Count Visits,2025-05-11 22:31:10,2025-05-11 22:31:12
W3PHXNA,nurse,Exit,2025-05-11 22:31:10,2025-05-11 22:32:14
nurse_jane,nurse,Count Visits,2025-05-11 22:33:05,2025-05-11 22:33:06
nurse_jane,nurse,View Note,2025-05-11 22:33:05,2025-05-11 22:33:20
nurse_jane,nurse,Exit,2025-05-11 22:33:05,2025-05-11 22:38:12
W3PHXNA,nurse,Count Visits,2025-05-11 22:41:30,2025-05-11 22:41:32
nurse_jane,nurse,Count Visits,2025-05-11 22:44:44,2025-05-11 22:44:46
nurse_jane,nurse,Exit,2025-05-11 22:44:44,2025-05-11 22:48:05
nurse_jane,nurse,Count Visits,2025-05-11 22:48:21,2025-05-11 22:48:24
nurse_jane,nurse,Count Visits,2025-05-11 22:48:21,2025-05-11 22:48:34
nurse_jane,nurse,View Note,2025-05-11 22:48:21,2025-05-11 22:48:36
nurse_jane,nurse,Exit,2025-05-11 22:48:21,2025-05-11 22:50:27
nurse_jane,nurse,Count Visits,2025-05-11 22:50:48,2025-05-11 22:50:50
nurse_jane,nurse,Exit,2025-05-11 22:50:48,2025-05-11 22:52:15
nurse_jane,nurse,Count Visits,2025-05-11 22:52:44,2025-05-11 22:52:45
nurse_jane,nurse,Exit,2025-05-11 22:52:44,2025-05-11 22:54:55
nurse_jane,nurse,Count Visits,2025-05-11 22:55:18,2025-05-11 22:55:20
nurse_jane,nurse,View Note,2025-05-11 22:55:18,2025-05-11 22:55:37
nurse_jane,nurse,Exit,2025-05-11 22:55:18,2025-05-11 22:57:12
nurse_jane,nurse,Count Visits,2025-05-11 22:57:26,2025-05-11 22:57:27
nurse_jane,nurse,Count Visits,2025-05-11 22:57:26,2025-05-11 22:57:42
nurse_jane,nurse,View Note,2025-05-11 22:57:26,2025-05-11 22:58:00
nurse_jane,nurse,Exit,2025-05-11 22:57:26,2025-05-11 23:01:13
W3PHXNA,nurse,Count Visits,2025-05-11 23:01:34,2025-05-11 23:01:39
W3PHXNA,nurse,View Note,2025-05-11 23:01:34,2025-05-11 23:01:49
W3PHXNA,nurse,Retrieve Patient,2025-05-11 23:01:34,2025-05-11 23:02:39
nurse_jane,nurse,Retrieve Patient,2025-05-11 23:03:28,2025-05-11 23:03:29
nurse_jane,nurse,Exit,2025-05-11 23:03:28,2025-05-11 23:04:25
nurse_jane,nurse,View Note,2025-05-11 23:04:38,2025-05-11 23:04:43
nurse_jane,nurse,Exit,2025-05-11 23:04:38,2025-05-11 23:06:40
nurse_jane,nurse,View Note,2025-05-11 23:06:55,2025-05-11 23:06:56
nurse_jane,nurse,Exit,2025-05-11 23:06:55,2025-05-11 23:07:44
nurse_jane,nurse,Retrieve Patient,2025-05-11 23:08:00,2025-05-11 23:08:01
nurse_jane,nurse,Exit,2025-05-11 23:08:00,2025-05-11 23:09:47
nurse_jane,nurse,Retrieve Patient,2025-05-11 23:10:00,2025-05-11 23:10:01
nurse_jane,nurse,Exit,2025-05-11 23:10:00,2025-05-11 23:11:05
nurse_jane,nurse,Retrieve Patient,2025-05-11 23:11:17,2025-05-11 23:11:18
